agency,,agencyid,Scale,state,organizationtype,county,state.1
Alameda-Contra Costa Transit District,Regional,9014,,CA,Authority,Alameda County,CA
Altamont Corridor Express,Regional,9182,,CA,Authority,San Joaquin County,CA
Ann Arbor Transportation Authority,Municipal,5040,,MI,Authority,Washtenaw County,MI
Arlington Transit - Arlington County,Regional,3080,,VA,City,Arlington County,VA
Athens Transit System,Municipal,4047,,GA,City,Clarke County,GA
Beaver County Transit Authority,County,3023,,PA,Authority,Beaver County,PA
Belle Urban System - Racine,Regional ,5006,,WI,City,Racine County,WI
Berks Area Reading Transportation Authority,Municipal,3024,,PA,Authority,Berks County,PA
Birmingham-Jefferson County Transit Authority,County,4042,,AL,Authority,Jefferson County,AL
"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.",Regional,7006,,MO,Authority,St. Louis city,MO
Blacksburg Transit,Municipal,3091,,VA,City,Montgomery County,VA
Bloomington-Normal Public Transit System,Regional,5047,,IL,Authority,McLean County,IL
Blue Water Area Transportation Commission,Municipal,5148,,MI,Authority,St. Clair County,MI
"Board of County Commissioners, Palm Beach County, PalmTran, Inc.",County,4037,,FL,City,Palm Beach County,FL
Broward County Transit Division,County,4029,,FL,City,Broward County,FL
Butte County Association of Governments,County,9208,,CA,MPO,Butte County,CA
Cambria County Transit Authority,County,3012,,PA,Authority,Cambria County,PA
Cape Fear Public Transportation Authority,Municipal,4006,,NC,Authority,New Hanover County,NC
Capital Area Transit,,4007,,NC,City,Wake County,NC
Capital Area Transit System,,6022,,LA,Authority,East Baton Rouge Parish,LA
Capital Area Transportation Authority,,5036,,MI,Authority,Ingham County,MI
Capital Metropolitan Transportation Authority,,6048,,TX,Authority,Travis County,TX
Central Arkansas Transit Authority,,6033,,AR,Authority,Pulaski County,AR
Central Contra Costa Transit Authority,,9078,,CA,Authority,Contra Costa County,CA
Central Florida Regional Transportation Authority,,4035,,FL,Authority,Orange County,FL
Central Midlands Transit,,4141,,SC,Authority,Richland County,SC
Central Oklahoma Transportation and Parking Authority,,6017,,OK,City,Oklahoma County,OK
Central Puget Sound Regional Transit Authority,,40,,WA,Authority,King County,WA
Centre Area Transportation Authority,,3054,,PA,Authority,Centre County,PA
Champaign-Urbana Mass Transit District,,5060,,IL,Authority,Champaign County,IL
Charleston Area Regional Transportation Authority,,4110,,SC,Authority,Charleston County,SC
Charlotte Area Transit System,,4008,,NC,City,Mecklenburg County,NC
Chatham Area Transit Authority,,4025,,GA,Authority,Chatham County,GA
Chattanooga Area Regional Transportation Authority,,4001,,TN,City,Hamilton County,TN
Chicago Transit Authority,,5066,,IL,Authority,Cook County,IL
City of Albuquerque Transit Department,,6019,,NM,City,Bernalillo County,NM
City of Appleton - Valley Transit,,5001,,WI,City,Outagamie County,WI
City of Brownsville - Brownsville Metro,,6014,,TX,City,Cameron County,TX
City of Elk Grove,,9205,,CA,City,Sacramento County,CA
City of Harrisonburg Department of Public Transportation,,3094,,VA,City,Harrisonburg city,VA
City of Lawrence,,7048,,KS,Consolidated,Douglas County,KS
City of Los Angeles Department of Transportation,,9147,,CA,City,Los Angeles County,CA
City of Santa Rosa,,9017,,CA,City,Sonoma County,CA
City of Seattle - Seattle Center Monorail Transit,,23,,WA,City,King County,WA
City of Tallahassee,,4036,,FL,City,Leon County,FL
City of Tempe Transit Division - dba Valley Metro,,9172,,AZ,City,Maricopa County,AZ
City of Tucson,,9033,,AZ,City,Pima County,AZ
City of Visalia - Visalia City Coach,,9091,,CA,City,Tulare County,CA
City of Waukesha Transit Commission,,5096,,WI,City,Waukesha County,WI
"City Transit Management Company, Inc.",,6010,,TX,City,Lubbock County,TX
City Utilities of Springfield,,7003,,MO,City,Greene County,MO
Clark County Public Transportation Benefit Area Authority,,24,,WA,Authority,Clark County,WA
Coast Transit Authority,,4014,,MS,Authority,Harrison County,MS
Cobb County Department of Transportation Authority,,4078,,GA,City,Cobb County,GA
Collier Area Transit,,4140,,FL,City,Collier County,FL
Columbia Transit,,7016,,MO,City,Boone County,MO
County of Lackawanna Transit System,,3025,,PA,Authority,Lackawanna County,PA
"County of Volusia, dba: VOTRAN",,4032,,FL,City,Volusia County,FL
Culver City Municipal Bus Lines,,9039,,,City,Los Angeles County,
Dallas Area Rapid Transit,,6056,,TX,Authority,Dallas County,TX
Delaware Transit Corporation,,3075,,DE,Authority,Kent County,DE
Denton County Transportation Authority,,6101,,TX,Authority,Denton County,TX
Denver Regional Transportation District,,8006,,CO,Authority,Denver County,CO
Detroit Transportation Corporation,,5141,,MI,Authority,Wayne County,MI
Durham Area Transit Authority,,4087,,NC,City,Durham County,NC
Erie Metropolitan Transit Authority,,3013,,PA,Authority,Erie County,PA
Everett Transit,,5,,WA,City,Snohomish County,WA
Foothill Transit,,9146,,CA,Authority,Los Angeles County,CA
Fort Wayne Public Transportation Corporation,,5044,,IN,Authority,Allen County,IN
Fort Worth Transportation Authority,,6007,,TX,Authority,Tarrant County,TX
Fresno Area Express,,9027,,CA,City,Fresno County,CA
Gainesville Regional Transit System,,4030,,FL,City,Alachua County,FL
Gold Coast Transit,,9035,,CA,Authority,Ventura County,CA
Golden Empire Transit District,,9004,,CA,Authority,Kern County,CA
Greater Attleboro-Taunton Regional Transit Authority,,1064,,MA,Authority,Bristol County,MA
Greater Dayton Regional Transit Authority,,5017,,OH,Authority,Montgomery County,OH
Greater Lafayette Public Transportation Corporation,,5051,,IN,Authority,Tippecanoe County,IN
Greater Lynchburg Transit Company,,3008,,VA,Authority,Lynchburg city,VA
Greater Peoria Mass Transit District,,5056,,IL,Authority,Peoria County,IL
Green Bay Metro,,5002,,WI,City,Brown County,WI
Gwinnett County Board of Commissioners,,4138,,GA,City,Gwinnett County,GA
Indianapolis and Marion County Public Transportation,,5050,,IN,Authority,Marion County,IN
Intercity Transit,,19,,WA,Authority,Thurston County,WA
Interurban Transit Partnership,,5033,,MI,Authority,Kent County,MI
Jacksonville Transportation Authority,,4040,,FL,Authority,Duval County,FL
"JAUNT, Inc.",,3045,,VA,Semi-Public Corp,Charlottesville city,VA
Kalamazoo Metro Transit System,,5035,,MI,City,Kalamazoo County,MI
Kanawha Valley Regional Transportation Authority,,3001,,WV,Authority,Kanawha County,WV
King County Department of Transportation - Metro Transit Division,,1,,WA,City,King County,WA
Kitsap Transit,,20,,WA,Authority,Kitsap County,WA
Knoxville Area Transit,,4002,,TN,City,Knox County,TN
LaCrosse Municipal Transit Utility,,5004,,WI,City,La Crosse County,WI
Lakeland Area Mass Transit District,,4031,,FL,Authority,Polk County,FL
Laketran,,5117,,OH,Authority,Lake County,OH
Lane Transit District,,7,,OR,Authority,Lane County,OR
"Laredo Transit Management, Inc.",,6009,,TX,City,Webb County,TX
Lee County Transit,,4028,,FL,City,Lee County,FL
Lehigh and Northampton Transportation Authority,,3010,,PA,Authority,Lehigh County,PA
Livermore / Amador Valley Transit Authority,,9144,,CA,Authority,Alameda County,CA
Los Angeles County Metropolitan Transportation Authority dba: Metro,,9154,,CA,Authority,Los Angeles County,CA
Luzerne County Transportation Authority,,3015,,PA,Authority,Luzerne County,PA
Macon-Bibb County Transit Authority,,4130,,GA,Authority,Bibb County,GA
Madison County Transit District,,5146,,IL,Authority,Madison County,IL
Maryland Transit Administration,,3034,,MD,State Government,Baltimore city,MD
Mass Transportation Authority,,5032,,MI,Authority,Genesee County,MI
Massachusetts Bay Transportation Authority,,1003,,,Authority,Suffolk County,
Memphis Area Transit Authority,,4003,,TN,City,Shelby County,TN
Merrimack Valley Regional Transit Authority,,1013,,MA,Authority,Essex County,MA
METRO Regional Transit Authority,,5010,,OH,Authority,Summit County,OH
Metro Transit System,,5005,,WI,City,Dane County,WI
Metropolitan Atlanta Rapid Transit Authority,,4022,,GA,Authority,Fulton County,GA
Metropolitan Council,,5154,,MN,Consolidated,Ramsey County,MN
Metropolitan Transit Authority,,4004,,TN,Authority,Davidson County,TN
"Metropolitan Transit Authority of Harris County, Texas",,6008,,TX,Authority,Harris County,TX
Milwaukee County Transit System,,5008,,WI,City,Milwaukee County,WI
Montachusett Regional Transit Authority,,1061,,MA,Authority,Worcester County,MA
Mountain Metropolitan Transit,,8005,,CO,City,El Paso County,CO
MTA New York City Transit,,2008,,NY,Subsidiary,New York County,NY
New York City Department of Transportation,,2082,,NY,City,New York County,NY
Niagara Frontier Transportation Authority,,2004,,NY,Authority,Erie County,NY
North County Transit District,,9030,,CA,Authority,San Diego County,CA
Northeast Illinois Regional Commuter Railroad Corporation dba: Metra Rail,,5118,,IL,Authority,Cook County,IL
Northern Arizona Intergovernmental Public Transportation Authority,,9219,,AZ,Authority,Coconino County,AZ
Northern Indiana Commuter Transportation District,,5104,,IN,Authority,Porter County,IN
Norwalk Transit District,,1057,,CT,Authority,Fairfield County,CT
Orange County Transportation Authority,,9036,,CA,Authority,Orange County,CA
Pee Dee Regional Transportation Authority,,4056,,SC,Authority,Florence County,SC
Piedmont Authority for Regional Transportation,,4173,,NC,Authority,Guilford County,NC
Pierce County Transportation Benefit Area Authority,,3,,WA,Authority,Pierce County,WA
Pinellas Suncoast Transit Authority,,4027,,FL,Authority,Pinellas County,FL
Pioneer Valley Transit Authority,,1008,,MA,Authority,Hampden County,MA
Port Authority of Allegheny County,,3022,,PA,Authority,Allegheny County,PA
Port Authority Trans-Hudson Corporation,,2098,,NJ,Authority,Hudson County,NJ
Potomac and Rappahannock Transportation Commission,,3070,,VA,Authority,Prince William County,VA
Prince George's County Transit,,3085,,MD,City,Prince George's County,MD
Red Rose Transit Authority,,3018,,PA,Authority,Lancaster County,PA
"Regional Transit Service, Inc. and Lift Line, Inc.",,2113,,NY,Authority,Monroe County,NY
Regional Transportation Commission of Southern Nevada,,9045,,NV,Authority,Clark County,NV
Regional Transportation Commission of Washoe County,,9001,,NV,Authority,Washoe County,NV
Rhode Island Public Transit Authority,,1001,,RI,Authority,Providence County,RI
Ride-On Montgomery County Transit,,3051,,MD,City,Montgomery County,MD
Rio Metro Regional Transit District,,6111,,NM,Authority,Bernalillo County,NM
Riverside Transit Agency,,9031,,CA,Authority,Riverside County,CA
Rock Island County Metropolitan Mass Transit District,,5057,,IL,Authority,Rock Island County,IL
Rockford Mass Transit District,,5058,,IL,Authority,Winnebago County,IL
Sacramento Regional Transit District,,9019,,CA,Authority,Sacramento County,CA
Salem Area Mass Transit District,,25,,OR,Authority,Marion County,OR
San Diego Metropolitan Transit System,,9026,,CA,Authority,San Diego County,CA
San Francisco Bay Area Rapid Transit District,,9003,,CA,Authority,Alameda County,CA
San Francisco Municipal Railway,,9015,,CA,City,San Francisco County,CA
San Joaquin Regional Transit District,,9012,,CA,Authority,San Joaquin County,CA
San Luis Obispo Regional Transit Authority,,9206,,CA,Authority,San Luis Obispo County,CA
Santa Clara Valley Transportation Authority,,9013,,CA,Authority,Santa Clara County,CA
Santa Clarita Transit,,9171,,CA,City,Los Angeles County,CA
Santa Maria Area Transit,,9087,,CA,City,Santa Barbara County,CA
Santa Monica's Big Blue Bus,,9008,,CA,City,Los Angeles County,CA
Santee Wateree Regional Transportation Authority,,4100,,SC,Authority,Sumter County,SC
Sarasota County Area Transit,,4046,,FL,City,Sarasota County,FL
Shreveport Area Transit System,,6024,,LA,City,Caddo Parish,LA
South Bend Public Transportation Corporation,,5052,,IN,Authority,St. Joseph County,IN
Southeast Area Transit,,1040,,CT,Authority,New London County,CT
Southeastern Pennsylvania Transportation Authority,,3019,,PA,Authority,Philadelphia County,PA
Southern California Regional Rail Authority dba: Metrolink,,9151,,CA,Authority,Los Angeles County,CA
Space Coast Area Transit,,4063,,FL,City,Brevard County,FL
Springfield Mass Transit District,,5059,,IL,Authority,Sangamon County,IL
Stark Area Regional Transit Authority,,5011,,OH,Authority,Stark County,OH
StarTran,,7001,,NE,City,Lancaster County,NE
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",,2099,,NY,Authority,Richmond County,NY
Suburban Mobility Authority for Regional Transportation,,5031,,MI,Authority,Wayne County,MI
SunLine Transit Agency,,9079,,CA,Authority,Riverside County,CA
The Eastern Contra Costa Transit Authority,,9162,,CA,Authority,Contra Costa County,CA
The Greater Cleveland Regional Transit Authority,,5015,,OH,Authority,Cuyahoga County,OH
The Wave Transit System,,4043,,AL,City,Mobile County,AL
Toledo Area Regional Transit Authority,,5022,,OH,Authority,Lucas County,OH
Topeka Metropolitan Transit Authority,,7014,,KS,Authority,Shawnee County,KS
Transfort,,8011,,CO,City,Larimer County,CO
Transit Authority of Northern Kentucky,,4019,,KY,Authority,Kenton County,KY
Transit Authority of Omaha,,7002,,NE,Authority,Douglas County,NE
Transit Authority of River City,,4018,,KY,Authority,Jefferson County,KY
Transit Services of Frederick County,,3072,,MD,City,Frederick County,MD
Transport of Rockland,,2084,,NY,City,Rockland County,NY
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit",,3083,,VA,Authority,Hampton city,VA
Utah Transit Authority,,8001,,UT,Authority,Salt Lake County,UT
Ventura Intercity Service Transit Authority,,9164,,CA,Authority,Ventura County,CA
VIA Metropolitan Transit,,6011,,TX,Authority,Bexar County,TX
Victor Valley Transit Authority,,9148,,CA,Authority,San Bernardino County,CA
Virginia Railway Express,,3073,,VA,Authority,Alexandria city,VA
"Waco Transit System, Inc.",,6012,,TX,City,McLennan County,TX
Washington Metropolitan Area Transit Authority,,3030,,DC,Authority,District of Columbia,DC
Westchester County Bee-Line System,,2076,,NY,City,Erie County,NY
Western Contra Costa Transit Authority,,9159,,CA,Authority,Contra Costa County,CA
Western Reserve Transit Authority,,5024,,OH,Authority,Mahoning County,OH
Westmoreland County Transit Authority,,3044,,PA,City,Westmoreland County,PA
Whatcom Transportation Authority,,21,,WA,Authority,Whatcom County,WA
Wichita Transit,,7015,,KS,City,Sedgwick County,KS
Yakima Transit,,6,,WA,City,Yakima County,WA
Yolo County Transportation District,,9090,,CA,Authority,Yolo County,CA
York County Transportation Authority,,3027,,PA,Authority,York County,PA
Yuba-Sutter Transit Authority,,9061,,CA,Authority,Yuba County,CA
