AgencyID,mode_cd,service_cd,kwh_propulsion,kwh_charge_batteries,gl_diesel_num,gl_gas_num,gl_lpg_num,gl_lng_num,gl_meth_num,gl_eth_num,gl_cng_num,gl_bunker_num,gl_kero_num,gl_grain_num,other_fuel_num,gl_biodiesel_num,Total
0001,MB,DO,0,0,"10,463,301",0,0,0,0,0,0,0,0,0,0,"728,727",11192028
0001,TB,DO,"15,791,529",0,0,0,0,0,0,0,0,0,0,0,0,0,15791529
0001,VP,DO,0,0,0,"711,122",0,0,0,0,0,0,0,0,0,0,711122
0002,DR,DO,0,0,"128,323","39,721",0,0,0,0,0,0,0,0,0,0,168044
0002,MB,DO,0,0,"1,168,176",0,0,0,0,0,0,0,0,0,0,0,1168176
0002,VP,DO,0,0,0,"56,397",0,0,0,0,0,0,0,0,0,0,56397
0003,DR,DO,0,0,0,"124,618",0,0,0,0,0,0,0,0,0,0,124618
0003,MB,DO,0,0,"189,130","36,138",0,0,0,0,"2,709,677",0,0,0,0,0,2934945
0003,VP,DO,0,0,0,"301,608",0,0,0,0,0,0,0,0,0,0,301608
0005,DR,DO,0,0,0,"79,171",0,0,0,0,0,0,0,0,0,0,79171
0005,MB,DO,0,0,"313,149",0,0,0,0,0,0,0,0,0,0,0,313149
0006,MB,DO,0,0,"166,070",0,0,0,0,0,0,0,0,0,0,0,166070
0006,VP,DO,0,0,"9,240","7,814",0,0,0,0,0,0,0,0,0,0,17054
0007,MB,DO,0,0,"904,693",0,0,0,0,0,0,0,0,0,0,0,904693
0008,LR,DO,"43,180,229",0,0,0,0,0,0,0,0,0,0,0,0,0,43180229
0008,MB,DO,0,0,"5,753,526",0,0,0,0,0,0,0,0,0,0,0,5753526
0011,DR,DO,0,0,"28,122",0,0,0,0,0,0,0,0,0,0,0,28122
0011,MB,DO,0,0,0,0,0,0,0,0,"268,202",0,0,0,0,0,268202
0012,MB,DO,0,0,"578,302",0,0,0,0,0,0,0,0,0,0,0,578302
0016,MB,DO,0,0,"50,171",0,0,0,0,0,0,0,0,0,0,0,50171
0018,DR,DO,0,0,"189,295","159,794",0,0,0,0,0,0,0,0,0,0,349089
0018,MB,DO,0,0,"592,388",0,0,0,0,0,0,0,0,0,0,0,592388
0018,VP,DO,0,0,"53,405","126,263",0,0,0,0,0,0,0,0,0,0,179668
0019,DR,DO,0,0,0,"4,100",0,0,0,0,0,0,0,0,0,"83,000",87100
0019,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"514,000",514000
0019,VP,DO,0,0,0,"141,000",0,0,0,0,0,0,0,0,0,0,141000
0020,DR,DO,0,0,"243,428",364,0,0,0,0,0,0,0,0,0,0,243792
0020,MB,DO,0,0,"578,550",0,0,0,0,0,0,0,0,0,0,0,578550
0020,VP,DO,0,0,"78,256","11,633",0,0,0,0,0,0,0,0,0,0,89889
0021,DR,DO,0,0,0,"115,035",0,0,0,0,0,0,0,0,0,0,115035
0021,MB,DO,0,0,"323,031","24,799",0,0,0,0,0,0,0,0,0,0,347830
0022,DR,DO,0,0,0,"30,942",0,0,0,0,0,0,0,0,0,0,30942
0022,MB,DO,0,0,"54,218","3,325",0,0,0,0,0,0,0,0,0,0,57543
0024,DR,DO,0,0,"163,031",0,0,0,0,0,0,0,0,0,0,0,163031
0024,MB,DO,0,0,"783,895",0,0,0,0,0,0,0,0,0,0,0,783895
0025,MB,DO,0,0,"324,685",0,0,0,0,0,"441,203",0,0,0,0,0,765888
0029,MB,DO,0,0,"1,757,839",0,0,0,0,0,0,0,0,0,0,0,1757839
0029,VP,DO,0,0,0,"247,303",0,0,0,0,0,0,0,0,0,0,247303
0033,DR,DO,0,0,"68,358","182,263",0,0,0,0,0,0,0,0,0,0,250621
0034,MB,DO,0,0,"45,136",0,0,0,0,0,"136,329",0,0,0,0,0,181465
0035,FB,DO,0,0,"17,324,333",0,0,0,0,0,0,0,0,0,0,0,17324333
0040,LR,DO,"417,975",0,0,0,0,0,0,0,0,0,0,0,0,0,417975
0041,AR,DO,0,0,"109,493",0,0,0,0,0,0,0,0,0,0,0,109493
0042,DR,DO,0,0,"13,611",45,0,0,0,0,0,0,0,0,0,0,13656
0042,MB,DO,0,0,"2,428","18,366",0,0,0,0,0,0,0,0,0,0,20794
0043,DR,DO,0,0,"10,479","15,529",0,0,0,0,0,0,0,0,0,0,26008
0043,MB,DO,0,0,"214,471",0,0,0,0,0,0,0,0,0,0,0,214471
0044,DR,DO,0,0,"31,168",0,0,0,0,0,0,0,0,0,0,0,31168
0044,MB,DO,0,0,"81,714",0,0,0,0,0,0,0,0,0,0,0,81714
0044,VP,DO,0,0,0,"31,606",0,0,0,0,0,0,0,0,0,0,31606
0045,DR,DO,0,0,"11,812","8,116",0,0,0,0,0,0,0,0,0,0,19928
0045,MB,DO,0,0,"65,176",0,0,0,0,0,0,0,0,0,0,"2,004",67180
0046,DR,DO,0,0,"10,106","2,452",0,0,0,0,0,0,0,0,0,0,12558
0046,MB,DO,0,0,"57,268",768,0,0,0,0,0,0,0,0,0,0,58036
0049,VP,DO,0,0,0,"61,164",0,0,0,0,0,0,0,0,0,0,61164
1001,DR,DO,0,0,"374,664",0,0,0,0,0,0,0,0,0,0,0,374664
1001,MB,DO,0,0,"2,123,094",0,0,0,0,0,"183,682",0,0,0,0,0,2306776
1002,DR,DO,0,0,"12,677",0,0,0,0,0,0,0,0,0,0,0,12677
1002,MB,DO,0,0,"98,888",0,0,0,0,0,0,0,0,0,0,0,98888
1003,CR,DO,0,0,"12,013,707",0,0,0,0,0,0,0,0,0,0,0,12013707
1003,HR,DO,"193,717,399",0,0,0,0,0,0,0,0,0,0,0,0,0,193717399
1003,LR,DO,"51,590,598",0,0,0,0,0,0,0,0,0,0,0,0,0,51590598
1003,MB,DO,0,0,"4,816,334",0,0,0,0,0,"4,252,713",0,0,0,0,0,9069047
1003,TB,DO,"6,404,666",0,0,0,0,0,0,0,0,0,0,0,0,0,6404666
1005,MB,DO,0,0,"227,918",0,0,0,0,0,"39,069",0,0,0,0,0,266987
1014,DR,DO,0,0,"3,009","20,638",0,0,0,0,0,0,0,0,0,0,23647
1014,MB,DO,0,0,"429,328",0,0,0,0,0,0,0,0,0,0,0,429328
1016,MB,DO,0,11,"151,444",0,0,0,0,0,"86,224",0,0,0,0,0,237679
1040,MB,DO,0,0,"245,829",0,0,0,0,0,0,0,0,0,0,0,245829
1047,MB,DO,0,0,"142,575",0,0,0,0,0,0,0,0,0,0,0,142575
1048,MB,DO,0,0,"1,847,472",0,0,0,0,0,0,0,0,0,0,0,1847472
1049,DR,DO,0,0,0,"201,608",0,0,0,0,0,0,0,0,0,0,201608
1049,MB,DO,0,"90,590",0,"24,497",0,0,0,0,0,0,0,0,0,0,115087
1050,MB,DO,0,0,"637,288",0,0,0,0,0,0,0,0,0,0,0,637288
1051,DR,DO,0,0,"46,553",0,0,0,0,0,0,0,0,0,0,0,46553
1051,MB,DO,0,0,"194,005","3,337",0,0,0,0,0,0,0,0,0,0,197342
1052,MB,DO,0,0,"18,800",0,0,0,0,0,0,0,0,0,0,0,18800
1055,MB,DO,0,0,"1,026,669",0,0,0,0,0,0,0,0,0,0,0,1026669
1056,MB,DO,0,0,"413,018",0,0,0,0,0,0,0,0,0,0,0,413018
1057,DR,DO,0,0,"37,995","1,130",0,0,0,0,0,0,0,0,0,0,39125
1057,MB,DO,0,0,"267,507",0,0,0,0,0,0,0,0,0,0,0,267507
1066,MB,DO,0,0,"315,947",0,0,0,0,0,0,0,0,0,0,0,315947
1066,VP,DO,0,0,0,"2,159",0,0,0,0,0,0,0,0,0,0,2159
1069,DR,DO,0,0,"65,765","25,578",927,0,0,0,0,0,0,0,0,0,92270
1086,DR,DO,0,0,350,"1,670",0,0,0,0,0,0,0,0,0,0,2020
1086,MB,DO,0,0,"46,643","11,721","4,157",0,0,0,0,0,0,0,0,"13,251",75772
1088,FB,DO,0,0,"236,597",0,0,0,0,0,0,0,0,0,0,0,236597
1095,DR,DO,0,0,0,0,0,0,0,0,0,0,"84,473",0,0,0,84473
1095,MB,DO,0,0,0,0,0,0,0,0,0,0,"292,502",0,0,0,292502
1096,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"110,635",110635
1098,DR,DO,0,0,"53,670","11,946",0,0,0,0,0,0,0,0,0,0,65616
1098,MB,DO,0,0,"33,014","6,448",0,0,0,0,0,0,0,0,0,0,39462
1107,DR,DO,0,0,0,"57,656",0,0,0,0,0,0,0,0,0,0,57656
1107,MB,DO,0,0,"65,449",0,0,0,0,0,0,0,0,0,0,0,65449
1108,VP,DO,0,0,0,"391,609",0,0,0,0,0,0,0,0,0,0,391609
1116,MB,DO,0,0,"122,579",0,0,0,0,0,0,0,0,0,0,0,122579
2002,DR,DO,0,0,"258,451","3,841",0,0,0,0,0,0,0,0,0,0,262292
2002,MB,DO,0,0,"1,877,511",0,0,0,0,0,0,0,0,0,0,0,1877511
2003,DR,DO,0,0,"30,531",0,0,0,0,0,0,0,0,0,0,0,30531
2003,MB,DO,0,0,"390,585",0,0,0,0,0,0,0,0,0,0,0,390585
2004,DR,DO,0,0,"135,121",0,0,0,0,0,0,0,0,0,0,0,135121
2004,LR,DO,"7,744,606",0,0,0,0,0,0,0,0,0,0,0,0,0,7744606
2004,MB,DO,0,0,"2,525,829",0,0,0,0,0,0,0,0,0,0,0,2525829
2006,DR,DO,0,0,"5,000",0,0,0,0,0,0,0,0,0,0,0,5000
2006,MB,DO,0,0,"61,672",0,0,0,0,0,0,0,0,0,0,0,61672
2007,DR,DO,0,0,"489,903",0,0,0,0,0,0,0,0,0,0,0,489903
2007,MB,DO,0,0,"46,480",0,0,0,0,0,"5,374,015",0,0,0,0,0,5420495
2008,HR,DO,"1,732,771,840",0,0,0,0,0,0,0,0,0,0,0,0,0,1732771840
2008,MB,DO,0,"10,299","40,543,779",0,0,0,0,0,"6,520,075",0,0,0,0,0,47074153
2009,MB,DO,0,0,"54,709",0,0,0,0,0,0,0,0,0,0,0,54709
2010,DR,DO,0,0,"58,426",0,0,0,0,0,0,0,"4,927",0,0,0,63353
2010,MB,DO,0,0,"151,738",0,0,0,0,0,0,0,"12,797",0,0,0,164535
2018,DR,DO,0,0,"69,122",0,0,0,0,0,0,0,0,0,0,0,69122
2018,MB,DO,0,0,"241,513",0,0,0,0,0,"1,164,544",0,0,0,0,0,1406057
2071,DR,DO,0,0,"12,900","4,566",0,0,0,0,0,0,0,0,0,0,17466
2071,MB,DO,0,0,"79,819",0,0,0,0,0,0,0,0,0,0,0,79819
2075,HR,DO,"39,626,424",0,0,0,0,0,0,0,0,0,0,0,0,0,39626424
2078,CR,DO,"455,820,866",0,"6,667,413",0,0,0,0,0,0,0,0,0,0,0,462488279
2080,CR,DO,"148,855,624",0,"13,382,303",0,0,0,0,0,0,0,0,0,0,0,162237927
2080,LR,DO,"5,927,439",0,0,0,0,0,0,0,0,0,0,0,0,0,5927439
2080,MB,DO,0,0,"21,616,896",0,0,0,0,0,"854,144",0,0,0,0,0,22471040
2082,FB,DO,0,0,"3,364,268",0,0,0,0,0,0,0,0,0,0,0,3364268
2085,MB,DO,0,0,"40,386",0,0,0,0,0,0,0,0,0,0,0,40386
2086,DR,DO,0,0,"77,255",0,0,0,0,0,0,0,0,0,0,0,77255
2089,MB,DO,0,0,"12,067",0,0,0,0,0,0,0,0,0,0,0,12067
2098,HR,DO,"95,081,395",0,0,0,0,0,0,0,0,0,0,0,0,0,95081395
2099,HR,DO,"18,100,256",0,0,0,0,0,0,0,0,0,0,0,0,0,18100256
2100,CR,DO,"473,540,297",0,"7,404,136",0,0,0,0,0,0,0,0,0,0,0,480944433
2113,DR,DO,0,0,"233,413",0,0,0,0,0,0,0,0,0,0,0,233413
2113,MB,DO,0,0,"1,722,296",0,0,0,0,0,0,0,0,0,0,0,1722296
2116,MB,DO,0,0,"136,066",0,0,0,0,0,0,0,0,0,0,0,136066
2120,DR,DO,0,0,"2,776",0,0,0,0,0,0,0,0,0,0,0,2776
2120,MB,DO,0,0,"42,085","11,298",0,0,0,0,0,0,0,0,0,0,53383
2122,MB,DO,0,0,"1,964,862",0,0,0,0,0,0,0,0,0,0,0,1964862
2126,MB,DO,0,0,"2,190,851",0,0,0,0,0,0,0,0,0,0,0,2190851
2128,MB,DO,0,0,"1,203,715",0,0,0,0,0,0,0,0,0,0,0,1203715
2132,MB,DO,0,0,"394,253",0,0,0,0,0,0,0,0,0,0,0,394253
2135,MB,DO,0,0,"308,425",0,0,0,0,0,0,0,0,0,0,0,308425
2137,MB,DO,0,0,"167,697",0,0,0,0,0,0,0,0,0,0,0,167697
2145,MB,DO,0,0,"380,380","1,379",0,0,0,0,0,0,0,0,0,0,381759
2148,DR,DO,0,0,"6,673",0,0,0,0,0,0,0,0,0,0,0,6673
2148,MB,DO,0,0,"40,993",0,0,0,0,0,0,0,0,0,0,0,40993
2149,MB,DO,0,0,"1,290,528",0,0,0,0,0,0,0,0,0,0,0,1290528
2155,DR,DO,0,0,"91,454","2,644",0,0,0,0,0,0,0,0,0,0,94098
2159,DR,DO,0,0,"1,061,078",0,0,0,0,0,0,0,0,0,0,0,1061078
2160,MB,DO,0,0,"271,354",0,0,0,0,0,0,0,0,0,0,0,271354
2161,MB,DO,0,0,"671,012",0,0,0,0,0,0,0,0,0,0,0,671012
2163,MB,DO,0,0,"670,909",0,0,0,0,0,0,0,0,0,0,0,670909
2165,MB,DO,0,0,"240,680",0,0,0,0,0,0,0,0,0,0,0,240680
2166,MB,DO,0,0,"815,537",0,0,0,0,0,0,0,0,0,0,0,815537
2168,MB,DO,0,0,"715,627",0,0,0,0,0,0,0,0,0,0,0,715627
2169,MB,DO,0,0,"703,582",0,0,0,0,0,0,0,0,0,0,0,703582
2172,MB,DO,0,0,"118,924",0,0,0,0,0,0,0,0,0,0,0,118924
2173,DR,DO,0,0,"978,917",0,0,0,0,0,0,0,0,0,0,0,978917
2177,MB,DO,0,0,"414,006",0,0,0,0,0,0,0,0,0,0,0,414006
2178,MB,DO,0,0,"95,727","3,794",0,0,0,0,0,0,0,0,0,0,99521
2179,MB,DO,0,0,"81,977",0,0,0,0,0,0,0,0,0,0,0,81977
2180,MB,DO,0,0,"295,437",0,0,0,0,0,0,0,0,0,0,0,295437
2182,DR,DO,0,0,"1,365",0,0,0,0,0,0,0,0,0,0,0,1365
2183,DR,DO,0,0,"10,786",0,0,0,0,0,0,0,0,0,0,0,10786
2185,DR,DO,0,0,"34,701","2,426",0,0,0,0,0,0,0,0,0,0,37127
2185,MB,DO,0,0,"196,641",0,0,0,0,0,0,0,0,0,0,0,196641
2187,MB,DO,0,0,"21,609",0,0,0,0,0,0,0,0,0,0,0,21609
2188,MB,DO,0,0,"19,788,904",0,0,0,0,0,"12,812,255",0,0,0,0,0,32601159
3001,DR,DO,0,0,0,"43,578",0,0,0,0,0,0,0,0,0,0,43578
3001,MB,DO,0,0,"498,588",0,0,0,0,0,0,0,0,0,0,0,498588
3002,DR,DO,0,0,897,"41,596",0,0,0,0,0,0,0,0,0,0,42493
3002,MB,DO,0,0,"171,955",0,0,0,0,0,0,0,0,0,0,0,171955
3006,MB,DO,0,0,"1,539,157",0,0,0,0,0,0,0,0,0,0,"12,000",1551157
3007,MB,DO,0,0,"392,998",0,0,0,0,0,0,0,0,0,0,0,392998
3008,DR,DO,0,0,"12,582",0,0,0,0,0,0,0,0,0,0,0,12582
3008,MB,DO,0,0,"223,202",0,0,0,0,0,0,0,0,0,0,0,223202
3009,DR,DO,0,0,"1,856","5,002",0,0,0,0,0,0,0,0,0,0,6858
3009,MB,DO,0,0,"109,378",0,0,0,0,0,0,0,0,0,0,0,109378
3010,MB,DO,0,0,"727,127",0,0,0,0,0,0,0,0,0,0,0,727127
3011,DR,DO,0,0,"1,201",0,0,0,0,0,0,0,0,0,0,0,1201
3011,MB,DO,0,0,"143,629",0,0,0,0,0,0,0,0,0,0,0,143629
3012,DR,DO,0,0,"3,301",0,0,0,0,0,0,0,0,0,0,0,3301
3012,IP,DO,"132,200",0,0,0,0,0,0,0,0,0,0,0,0,0,132200
3012,MB,DO,0,0,"219,293",0,0,0,0,0,0,0,0,0,0,0,219293
3013,DR,DO,0,0,"144,986","9,714",0,0,0,0,0,0,0,0,0,0,154700
3013,MB,DO,0,0,"281,563",0,0,0,0,0,"73,993",0,0,0,0,0,355556
3014,DR,DO,0,0,"66,096","82,452",0,0,0,0,0,0,0,0,0,0,148548
3014,MB,DO,0,0,"413,396",0,0,0,0,0,0,0,0,0,0,0,413396
3015,MB,DO,0,0,"225,337",0,0,0,0,0,0,0,0,0,0,0,225337
3018,MB,DO,0,0,"371,755",0,0,0,0,0,0,0,0,0,0,0,371755
3019,CR,DO,"197,765,404",0,0,0,0,0,0,0,0,0,0,0,0,0,197765404
3019,HR,DO,"136,501,661",0,0,0,0,0,0,0,0,0,0,0,0,0,136501661
3019,LR,DO,"34,018,799",0,0,0,0,0,0,0,0,0,0,0,0,0,34018799
3019,MB,DO,0,0,"15,775,800",0,0,0,0,0,0,0,0,0,0,0,15775800
3022,IP,DO,"200,440",0,0,0,0,0,0,0,0,0,0,0,0,0,200440
3022,LR,DO,"29,485,190",0,0,0,0,0,0,0,0,0,0,0,0,0,29485190
3022,MB,DO,0,0,"8,901,928",0,0,0,0,0,0,0,0,0,0,0,8901928
3023,DR,DO,0,0,"72,228",0,0,0,0,0,0,0,0,0,0,0,72228
3023,MB,DO,0,0,"227,253",0,0,0,0,0,0,0,0,0,0,0,227253
3024,DR,DO,0,0,"99,633",614,0,0,0,0,0,0,0,0,0,0,100247
3024,MB,DO,0,0,"432,825",0,0,0,0,0,0,0,0,0,0,0,432825
3025,MB,DO,0,0,"255,206",0,0,0,0,0,0,0,0,0,0,0,255206
3026,MB,DO,0,0,"198,389",0,0,0,0,0,0,0,0,0,0,0,198389
3027,DR,DO,0,0,"137,897","3,129",0,0,0,0,0,0,0,0,0,0,141026
3027,MB,DO,0,0,"263,407","6,246",0,0,0,0,0,0,0,0,0,0,269653
3030,HR,DO,"470,583,434",0,0,0,0,0,0,0,0,0,0,0,0,0,470583434
3030,MB,DO,0,0,"12,536,201",0,0,0,0,0,"3,122,253",0,0,0,0,0,15658454
3034,DR,DO,0,0,"138,536","4,353",0,0,0,0,0,0,0,0,0,0,142889
3034,HR,DO,"26,884,500",0,0,0,0,0,0,0,0,0,0,0,0,0,26884500
3034,LR,DO,"26,597,596",0,0,0,0,0,0,0,0,0,0,0,0,0,26597596
3034,MB,DO,0,0,"7,490,158","235,347",0,0,0,0,0,0,0,0,0,0,7725505
3035,DR,DO,0,0,640,"6,394",0,0,0,0,0,0,0,0,0,0,7034
3035,MB,DO,0,0,"130,035",0,0,0,0,0,0,0,0,0,0,0,130035
3036,MB,DO,0,0,"103,538","3,202",0,0,0,0,0,0,"114,913",0,0,0,221653
3040,MB,DO,0,0,"133,016","4,711",0,0,0,0,"11,085",0,0,0,0,0,148812
3041,DR,DO,0,0,0,"42,218",0,0,0,0,0,0,0,0,0,0,42218
3041,MB,DO,0,0,"24,339","12,130",0,0,0,0,0,0,0,0,0,0,36469
3042,DR,DO,0,0,"9,029",0,0,0,0,0,0,0,0,0,0,0,9029
3042,MB,DO,0,0,"85,663",0,0,0,0,0,0,0,0,0,0,0,85663
3050,DR,DO,0,0,"8,812","31,594",0,0,0,0,0,0,0,0,0,0,40406
3050,MB,DO,0,0,"31,601",0,0,0,0,0,0,0,0,0,0,0,31601
3051,MB,DO,0,0,"2,717,506",0,0,0,0,0,"967,772",0,0,0,0,0,3685278
3054,MB,DO,0,0,0,0,0,0,0,0,"456,587",0,0,0,0,0,456587
3055,DR,DO,0,0,"60,606",572,0,0,0,0,0,0,0,0,0,0,61178
3055,MB,DO,0,0,"24,789",0,0,0,0,0,0,0,0,0,0,0,24789
3058,MB,DO,0,0,"98,802",0,0,0,0,0,0,0,0,0,0,0,98802
3069,DR,DO,0,0,"14,605",0,0,0,0,0,0,0,0,0,0,0,14605
3069,MB,DO,0,0,"45,875",0,0,0,0,0,0,0,0,0,0,0,45875
3071,MB,DO,0,0,"425,403",0,0,0,0,0,0,0,0,0,0,0,425403
